id,attack_cat
167,Backdoor
168,Backdoor
169,Normal
170,DoS
171,Fuzzers
172,Generic
173,Normal
174,Exploits
175,Worms
176,Generic
177,Generic
178,Worms
179,Normal
180,Analysis
181,Normal
182,Normal
183,Generic
184,Generic
185,Analysis
186,Normal
187,Generic
188,Exploits
189,Fuzzers
190,Exploits
191,Normal
192,Shellcode
193,Generic
194,Fuzzers
195,Normal
196,Generic
197,Generic
198,Worms
199,Generic
200,Reconnaissance
201,Fuzzers
202,Normal
203,Generic
204,Generic
205,Fuzzers
206,Normal
207,Fuzzers
208,Normal
209,Exploits
210,Normal
211,Backdoor
212,DoS
213,Generic
214,Exploits
215,Backdoor
216,Generic
217,Generic
218,Generic
219,Generic
220,Shellcode
221,Fuzzers
222,Normal
223,DoS
224,Normal
225,Fuzzers
226,Normal
227,Generic
228,Generic
229,Backdoor
230,Generic
231,Shellcode
232,Analysis
233,Exploits
234,Exploits
235,Generic
236,DoS
237,Exploits
238,Generic
239,Exploits
240,Generic
241,Reconnaissance
242,Backdoor
243,Normal
244,Normal
245,Worms
246,Worms
247,Shellcode
248,Worms
249,Exploits
250,Generic
251,Backdoor
252,Normal
253,Shellcode
254,Exploits
255,Normal
256,Generic
257,Backdoor
258,Shellcode
259,Generic
260,Fuzzers
261,Worms
262,Normal
263,Generic
264,Generic
265,DoS
266,Analysis
267,Generic
268,Fuzzers
269,Generic
270,Reconnaissance
271,Analysis
272,Reconnaissance
273,Fuzzers
274,Generic
275,Fuzzers
276,Worms
277,Reconnaissance
278,Backdoor
279,Fuzzers
280,Reconnaissance
281,Exploits
282,Reconnaissance
283,Reconnaissance
284,Generic
285,Reconnaissance
286,Generic
287,Shellcode
288,Backdoor
289,Generic
290,Generic
291,Backdoor
292,Reconnaissance
293,Shellcode
294,Worms
295,Generic
296,Fuzzers
297,Analysis
298,DoS
299,Normal
300,Backdoor
301,Normal
302,Normal
303,Generic
304,Fuzzers
305,Worms
306,Worms
307,Normal
308,Generic
309,Generic
310,Exploits
311,Normal
312,Normal
313,Exploits
314,Generic
315,Normal
316,Fuzzers
317,DoS
318,Normal
319,Fuzzers
320,Generic
321,Normal
322,Normal
323,Worms
324,Worms
325,Analysis
326,Exploits
327,Fuzzers
328,DoS
329,Normal
330,Generic
331,Fuzzers
332,Normal
333,Normal
334,Generic
335,Shellcode
336,Backdoor
337,DoS
338,Generic
339,Fuzzers
340,Worms
341,Shellcode
342,Normal
343,Shellcode
344,DoS
345,Fuzzers
346,Normal
347,Worms
348,Backdoor
349,Worms
350,Fuzzers
351,Normal
352,Reconnaissance
353,Generic
354,Fuzzers
355,Fuzzers
356,Analysis
357,Fuzzers
358,Worms
359,Exploits
360,DoS
361,Generic
362,Fuzzers
363,Worms
364,Normal
365,Exploits
366,Fuzzers
367,Normal
368,Exploits
369,DoS
370,Analysis
371,Exploits
372,DoS
373,Analysis
374,Generic
375,Generic
376,Analysis
377,Generic
378,Generic
379,Backdoor
380,Shellcode
381,DoS
382,Normal
383,Fuzzers
384,Fuzzers
385,Exploits
386,Worms
387,Generic
388,Normal
389,Generic
390,Fuzzers
391,DoS
392,Fuzzers
393,Generic
394,Normal
395,Normal
396,Generic
397,Backdoor
398,Exploits
399,Backdoor
400,Shellcode
401,Fuzzers
402,Backdoor
403,Generic
404,Normal
405,DoS
406,Worms
407,DoS
408,Fuzzers
409,Fuzzers
410,DoS
411,Backdoor
412,Worms
413,Generic
414,Worms
415,Exploits
416,Worms
417,Normal
418,Backdoor
419,Normal
420,Generic
421,Normal
422,DoS
423,Worms
424,Generic
425,DoS
426,Analysis
427,Normal
428,Worms
429,Generic
430,DoS
431,Fuzzers
432,Generic
433,Fuzzers
434,Fuzzers
435,Generic
436,Fuzzers
437,Fuzzers
438,Normal
439,Generic
440,Generic
441,Reconnaissance
442,Fuzzers
443,Normal
444,Reconnaissance
445,Normal
446,Analysis
447,Fuzzers
448,Backdoor
449,DoS
450,Exploits
451,Normal
452,Fuzzers
453,Reconnaissance
454,Exploits
455,Reconnaissance
456,Shellcode
457,Reconnaissance
458,Normal
459,Generic
460,Backdoor
461,Normal
462,DoS
463,Exploits
464,Generic
465,Generic
466,Analysis
467,Exploits
468,Generic
469,Worms
470,Backdoor
471,Normal
472,Fuzzers
473,Exploits
474,Generic
475,Backdoor
476,Normal
477,Normal
478,Generic
479,DoS
480,Shellcode
481,Exploits
482,Analysis
483,Fuzzers
484,DoS
485,Normal
486,Normal
487,Fuzzers
488,Generic
489,Generic
490,Exploits
491,Normal
492,Generic
493,Analysis
494,Reconnaissance
495,Exploits
496,Reconnaissance
497,Normal
498,DoS
499,Backdoor
500,Reconnaissance
501,Reconnaissance
502,Analysis
503,Normal
504,Normal
505,DoS
506,Exploits
507,Generic
508,Exploits
509,Normal
510,Normal
511,Generic
512,Fuzzers
513,Backdoor
514,Worms
515,Reconnaissance
516,Generic
517,Fuzzers
518,Reconnaissance
519,Generic
520,Generic
521,Shellcode
522,Reconnaissance
523,Shellcode
524,Backdoor
525,Reconnaissance
526,Backdoor
527,Generic
528,DoS
529,Worms
530,DoS
531,Normal
532,Generic
533,Normal
534,Normal
535,Worms
536,Fuzzers
537,Generic
538,Generic
539,Worms
540,Generic
541,Generic
542,Normal
543,Fuzzers
544,Fuzzers
545,Fuzzers
546,Normal
547,Reconnaissance
548,Fuzzers
549,Shellcode
550,Generic
551,Reconnaissance
552,Shellcode
553,Normal
554,Normal
555,Backdoor
556,Reconnaissance
557,DoS
558,Generic
559,Fuzzers
560,Generic
561,Fuzzers
562,Exploits
563,Worms
564,Normal
565,Backdoor
566,Normal
567,Generic
568,Generic
569,Reconnaissance
570,Normal
571,Reconnaissance
572,Generic
573,Exploits
574,Analysis
575,DoS
576,Shellcode
577,DoS
578,Analysis
579,Generic
580,Fuzzers
581,Generic
582,Fuzzers
583,Shellcode
584,DoS
585,Shellcode
586,Backdoor
587,Backdoor
588,Normal
589,Normal
590,Worms
591,Exploits
592,Normal
593,Exploits
594,Fuzzers
595,Generic
596,Generic
597,Generic
598,Normal
599,Generic
600,Normal
601,Reconnaissance
602,Backdoor
603,Reconnaissance
604,Exploits
605,DoS
606,Normal
607,Fuzzers
608,Shellcode
609,Normal
610,Backdoor
611,DoS
612,Reconnaissance
613,Normal
614,Reconnaissance
615,Exploits
616,Generic
617,Backdoor
618,Normal
619,Fuzzers
620,Normal
621,Normal
622,Exploits
623,Exploits
624,DoS
625,Fuzzers
626,Generic
627,Worms
628,Shellcode
629,Generic
630,Generic
631,Normal
632,Normal
633,Normal
634,Generic
635,Normal
636,Worms
637,Generic
638,Backdoor
639,Reconnaissance
640,Exploits
641,Generic
642,Normal
643,Generic
644,Generic
645,Generic
646,Reconnaissance
647,Worms
648,Reconnaissance
649,Fuzzers
650,Generic
651,Backdoor
652,Exploits
653,Worms
654,Generic
655,DoS
656,Generic
657,Generic
658,Normal
659,Generic
660,Fuzzers
661,Worms
662,Backdoor
663,Shellcode
664,Worms
665,Analysis
666,DoS
667,Reconnaissance
668,Generic
669,Fuzzers
670,Shellcode
671,Exploits
672,Generic
673,Normal
674,Generic
675,Normal
676,DoS
677,Worms
678,DoS
679,DoS
680,Exploits
681,Shellcode
682,Fuzzers
683,Shellcode
684,Worms
685,Generic
686,Fuzzers
687,Exploits
688,Generic
689,Exploits
690,Analysis
691,DoS
692,Normal
693,Generic
694,Normal
695,Analysis
696,Generic
697,Generic
698,DoS
699,Normal
700,Exploits
701,Normal
702,Generic
703,DoS
704,Generic
705,Reconnaissance
706,Fuzzers
707,Normal
708,Normal
709,Worms
710,Shellcode
711,Normal
712,Worms
713,Generic
714,Normal
715,Generic
716,Exploits
717,Normal
718,Normal
719,Shellcode
720,Generic
721,Backdoor
722,Shellcode
723,Fuzzers
724,Normal
725,Analysis
726,Worms
727,Fuzzers
728,Fuzzers
729,DoS
730,Generic
731,Normal
732,Normal
733,Generic
734,Shellcode
735,Generic
736,Worms
737,Backdoor
738,Generic
739,Exploits
740,Fuzzers
741,Exploits
742,Fuzzers
743,Analysis
744,Normal
745,Exploits
746,Generic
747,Backdoor
748,Generic
749,Analysis
750,Normal
751,Normal
752,Normal
753,Fuzzers
754,DoS
755,Normal
756,Reconnaissance
757,Normal
758,Generic
759,Generic
760,Analysis
761,Generic
762,Exploits
763,Analysis
764,Normal
765,Exploits
766,Fuzzers
767,Generic
768,Reconnaissance
769,Shellcode
770,Generic
771,Backdoor
772,Normal
773,Exploits
774,Generic
775,Exploits
776,Generic
777,Reconnaissance
778,Backdoor
779,Reconnaissance
780,Fuzzers
781,Normal
782,Generic
783,Generic
784,Backdoor
785,Exploits
786,Worms
787,Generic
788,Exploits
789,Generic
790,Analysis
791,Fuzzers
792,Normal
793,Generic
794,Generic
795,DoS
796,Normal
797,Generic
798,Generic
799,Reconnaissance
800,Analysis
801,Generic
802,Normal
803,Reconnaissance
804,Generic
805,Generic
806,Generic
807,Generic
808,Generic
809,Normal
810,DoS
811,Normal
812,Exploits
813,Analysis
814,Normal
815,Fuzzers
816,Fuzzers
817,Fuzzers
818,Shellcode
819,Exploits
820,Fuzzers
821,Normal
822,Fuzzers
823,Exploits
824,Analysis
825,DoS
826,Generic
827,DoS
828,Generic
829,Worms
830,Fuzzers
831,Generic
832,Exploits
833,Normal
834,Generic
835,Fuzzers
836,Generic
837,Reconnaissance
838,Fuzzers
839,Fuzzers
840,Fuzzers
841,Generic
842,Shellcode
843,DoS
844,Exploits
845,Analysis
846,Normal
847,Normal
848,Normal
849,Analysis
850,Normal
851,Normal
852,Generic
853,Shellcode
854,Generic
855,Generic
856,Fuzzers
857,Normal
858,Backdoor
859,Generic
860,Analysis
861,Fuzzers
862,Generic
863,Reconnaissance
864,Generic
865,Analysis
866,Generic
867,Normal
868,Fuzzers
869,Generic
870,Generic
871,Normal
872,Exploits
873,Normal
874,Fuzzers
875,Reconnaissance
876,Generic
877,Generic
878,Normal
879,Analysis
880,Normal
881,Worms
882,Generic
883,Normal
884,Normal
885,Fuzzers
886,Exploits
887,Normal
888,Fuzzers
889,Reconnaissance
890,Normal
891,Reconnaissance
892,Worms
893,Backdoor
894,Shellcode
895,Generic
896,DoS
897,Fuzzers
898,Normal
899,Generic
900,Shellcode
901,Generic
902,Exploits
903,Normal
904,Exploits
905,Generic
906,Worms
907,Exploits
908,Normal
909,Generic
910,Generic
911,Shellcode
912,Normal
913,Exploits
914,Normal
915,DoS
916,Normal
917,Normal
918,Generic
919,Generic
920,Normal
921,Fuzzers
922,Generic
923,DoS
924,Normal
925,Generic
926,Exploits
927,Normal
928,Normal
929,Backdoor
930,Normal
931,Analysis
932,Shellcode
933,Reconnaissance
934,Generic
935,Generic
936,Exploits
937,Normal
938,Generic
939,Exploits
940,Fuzzers
941,Normal
942,Fuzzers
943,Generic
944,Normal
945,Reconnaissance
946,Shellcode
947,Backdoor
948,Generic
949,Backdoor
950,Generic
951,Fuzzers
952,Exploits
953,Backdoor
954,Shellcode
955,Fuzzers
956,Fuzzers
957,Backdoor
958,Backdoor
959,Generic
960,Analysis
961,Normal
962,Reconnaissance
963,Normal
964,Normal
965,Normal
966,Normal
967,Reconnaissance
968,Fuzzers
969,Generic
970,Normal
971,Generic
972,Generic
973,Normal
974,Generic
975,Analysis
976,Normal
977,Generic
978,Generic
979,Generic
980,Exploits
981,Worms
982,Normal
983,Fuzzers
984,Normal
985,Reconnaissance
986,Reconnaissance
987,Generic
988,Generic
989,Normal
990,Backdoor
991,Shellcode
992,Fuzzers
993,Normal
994,Reconnaissance
995,Normal
996,Generic
997,Fuzzers
998,Worms
999,Fuzzers
1000,Normal
1001,Normal
1002,Normal
1003,Shellcode
1004,Fuzzers
1005,Backdoor
1006,Generic
1007,Worms
1008,Analysis
1009,Backdoor
1010,Exploits
1011,Generic
1012,Exploits
1013,Analysis
1014,Normal
1015,Generic
1016,Exploits
1017,Exploits
1018,Normal
1019,Exploits
1020,Generic
1021,Fuzzers
1022,Reconnaissance
1023,Normal
1024,Worms
1025,Shellcode
1026,Normal
1027,Shellcode
1028,Generic
1029,Backdoor
1030,DoS
1031,Generic
1032,Shellcode
1033,Analysis
1034,Generic
1035,Generic
1036,Fuzzers
1037,Analysis
1038,Generic
1039,Fuzzers
1040,Normal
1041,Worms
1042,Reconnaissance
1043,Fuzzers
1044,Fuzzers
1045,Worms
1046,Backdoor
1047,Normal
1048,Generic
1049,Fuzzers
1050,Generic
1051,Reconnaissance
1052,Worms
1053,Normal
1054,Normal
1055,Backdoor
1056,Normal
1057,Shellcode
1058,Normal
1059,DoS
1060,Normal
1061,Exploits
1062,Normal
1063,Generic
1064,Normal
1065,Generic
1066,Shellcode
1067,DoS
1068,Normal
1069,Generic
1070,DoS
1071,Reconnaissance
1072,Analysis
1073,Fuzzers
1074,Shellcode
1075,Analysis
1076,Generic
1077,Generic
1078,Generic
1079,Generic
1080,Exploits
1081,Normal
1082,Generic
1083,Reconnaissance
1084,Worms
1085,DoS
1086,Shellcode
1087,Backdoor
1088,Backdoor
1089,Normal
1090,DoS
1091,Generic
1092,Normal
1093,Generic
1094,Normal
1095,Normal
1096,Worms
1097,Shellcode
1098,Fuzzers
1099,Generic
1100,Normal
1101,Generic
1102,Normal
1103,Shellcode
1104,Generic
1105,Reconnaissance
1106,Shellcode
1107,Worms
1108,Normal
1109,Generic
1110,Fuzzers
1111,Fuzzers
1112,Reconnaissance
1113,Generic
1114,Normal
1115,Normal
1116,Normal
1117,Generic
1118,Generic
1119,DoS
1120,Normal
1121,Worms
1122,Normal
1123,Worms
1124,Normal
1125,DoS
1126,Normal
1127,Shellcode
1128,Exploits
1129,Generic
1130,Reconnaissance
1131,Generic
1132,Generic
1133,Exploits
1134,Normal
1135,Exploits
1136,Fuzzers
1137,Fuzzers
1138,Analysis
1139,Normal
1140,Normal
1141,Analysis
1142,Normal
1143,Normal
1144,Normal
1145,Worms
1146,Normal
1147,Analysis
1148,Generic
1149,Generic
1150,Normal
1151,Generic
1152,Worms
1153,Analysis
1154,Exploits
1155,Exploits
1156,Normal
1157,Reconnaissance
1158,Backdoor
1159,Analysis
1160,Generic
1161,Fuzzers
1162,Generic
1163,Worms
1164,Analysis
1165,Worms
1166,Worms
1167,Exploits
1168,Analysis
1169,Reconnaissance
1170,Normal
1171,Reconnaissance
1172,Generic
1173,Analysis
1174,Normal
1175,Generic
1176,Shellcode
1177,Normal
1178,Fuzzers
1179,Reconnaissance
1180,DoS
1181,Normal
1182,Reconnaissance
1183,Analysis
1184,Normal
1185,Generic
1186,Fuzzers
1187,Normal
1188,Analysis
1189,Generic
1190,Worms
1191,Normal
1192,Normal
1193,Normal
1194,Normal
1195,DoS
1196,Normal
1197,Normal
1198,Normal
1199,Fuzzers
1200,Shellcode
1201,Fuzzers
1202,Worms
1203,Fuzzers
1204,Normal
1205,Normal
1206,Normal
1207,Normal
1208,Normal
1209,Normal
1210,Exploits
1211,Generic
1212,Normal
1213,Shellcode
1214,Backdoor
1215,Exploits
1216,Generic
1217,Generic
1218,Reconnaissance
1219,Normal
1220,Fuzzers
1221,Reconnaissance
1222,Generic
1223,Normal
1224,Fuzzers
1225,Normal
1226,Fuzzers
1227,Normal
1228,Analysis
1229,Generic
1230,Backdoor
1231,Fuzzers
1232,Normal
1233,Generic
1234,Reconnaissance
1235,Generic
1236,Worms
1237,Reconnaissance
1238,Normal
1239,Generic
1240,Worms
1241,Generic
1242,Generic
1243,Generic
1244,Normal
1245,Reconnaissance
1246,Normal
1247,Shellcode
1248,Generic
1249,Exploits
1250,Analysis
1251,Generic
1252,Exploits
1253,Generic
1254,Worms
1255,Shellcode
1256,Generic
1257,Generic
1258,Shellcode
1259,Fuzzers
1260,Normal
1261,Generic
1262,Generic
1263,Analysis
1264,Worms
1265,Generic
1266,Generic
1267,Shellcode
1268,Worms
1269,Generic
1270,Normal
1271,Analysis
1272,Normal
1273,Generic
1274,Reconnaissance
1275,Fuzzers
1276,Fuzzers
1277,Analysis
1278,Fuzzers
1279,Normal
1280,Analysis
1281,Analysis
1282,DoS
1283,Fuzzers
1284,Normal
1285,Normal
1286,Generic
1287,Fuzzers
1288,Generic
1289,Normal
1290,DoS
1291,Generic
1292,Normal
1293,DoS
1294,Normal
1295,Worms
1296,Analysis
1297,Normal
1298,Generic
1299,Backdoor
1300,Exploits
1301,Exploits
1302,Generic
1303,Normal
1304,Fuzzers
1305,Exploits
1306,Fuzzers
1307,Normal
1308,Generic
1309,Backdoor
1310,Normal
1311,Normal
1312,Reconnaissance
1313,Backdoor
1314,Reconnaissance
1315,Generic
1316,Generic
1317,Normal
1318,DoS
1319,Shellcode
1320,Reconnaissance
1321,Generic
1322,Exploits
1323,Exploits
1324,Normal
1325,Shellcode
1326,Analysis
1327,Normal
1328,Fuzzers
1329,Generic
1330,Shellcode
1331,Shellcode
1332,Fuzzers
1333,Generic
1334,Normal
1335,Reconnaissance
1336,Backdoor
1337,Shellcode
1338,Worms
1339,Reconnaissance
1340,Shellcode
1341,Fuzzers
1342,Reconnaissance
1343,Reconnaissance
1344,Normal
1345,Reconnaissance
1346,Analysis
1347,Worms
1348,Generic
1349,Generic
1350,Generic
1351,Fuzzers
1352,Shellcode
1353,Exploits
1354,Exploits
1355,Normal
1356,Generic
1357,Generic
1358,Generic
1359,Normal
1360,Normal
1361,Fuzzers
1362,Normal
1363,Generic
1364,Backdoor
1365,Exploits
1366,Normal
1367,Generic
1368,Normal
1369,Exploits
1370,Reconnaissance
1371,Fuzzers
1372,Generic
1373,Backdoor
1374,Exploits
1375,Shellcode
1376,Generic
1377,Normal
1378,Generic
1379,Fuzzers
1380,Reconnaissance
1381,Normal
1382,Normal
1383,Generic
1384,Generic
1385,Reconnaissance
1386,Normal
1387,Normal
1388,Normal
1389,Fuzzers
1390,Shellcode
1391,Normal
1392,Analysis
1393,Generic
1394,Normal
1395,Exploits
1396,Shellcode
1397,Fuzzers
1398,Normal
1399,Worms
1400,Generic
1401,Exploits
1402,Normal
1403,Generic
1404,Normal
1405,Fuzzers
1406,Generic
1407,Analysis
1408,DoS
1409,Fuzzers
1410,Reconnaissance
1411,Reconnaissance
1412,Analysis
1413,Normal
1414,Shellcode
1415,Generic
1416,Normal
1417,Generic
1418,Normal
1419,Generic
1420,Generic
1421,Generic
1422,Generic
1423,DoS
1424,Fuzzers
1425,Reconnaissance
1426,Shellcode
1427,Normal
1428,Worms
1429,Worms
1430,Generic
1431,Generic
1432,Fuzzers
1433,Shellcode
1434,Generic
1435,Generic
1436,Shellcode
1437,Analysis
1438,Exploits
1439,Normal
1440,Fuzzers
1441,Generic
1442,Normal
1443,Fuzzers
1444,DoS
1445,Normal
1446,Analysis
1447,Generic
1448,Fuzzers
1449,Normal
1450,Fuzzers
1451,Normal
1452,Normal
1453,Normal
1454,Reconnaissance
1455,Fuzzers
1456,Normal
1457,Shellcode
1458,Worms
1459,Normal
1460,Normal
1461,DoS
1462,DoS
1463,Analysis
1464,Generic
1465,Fuzzers
1466,Normal
1467,Normal
1468,Normal
1469,Normal
1470,Exploits
1471,Reconnaissance
1472,Fuzzers
1473,Fuzzers
1474,Worms
1475,Generic
1476,Normal
1477,Generic
1478,Exploits
1479,Backdoor
1480,Normal
1481,Exploits
1482,Generic
1483,Generic
1484,Analysis
1485,Shellcode
1486,DoS
1487,Shellcode
1488,Worms
1489,Fuzzers
1490,Exploits
1491,Generic
1492,Generic
1493,Reconnaissance
1494,Exploits
1495,Normal
1496,Fuzzers
1497,Normal
1498,Fuzzers
1499,Analysis
1500,Reconnaissance
1501,Generic
1502,Fuzzers
1503,Normal
1504,Reconnaissance
1505,Fuzzers
1506,Generic
1507,Exploits
1508,Reconnaissance
1509,Normal
1510,Normal
1511,Reconnaissance
1512,Backdoor
1513,Exploits
1514,Generic
1515,Backdoor
1516,Fuzzers
1517,Backdoor
1518,Generic
1519,Shellcode
1520,Normal
1521,Normal
1522,Exploits
1523,Reconnaissance
1524,DoS
1525,Generic
1526,Fuzzers
1527,Fuzzers
1528,Fuzzers
1529,Fuzzers
1530,DoS
1531,Generic
1532,Reconnaissance
1533,Normal
1534,Generic
1535,DoS
1536,Analysis
1537,Shellcode
1538,Exploits
1539,Normal
1540,Normal
1541,Normal
1542,Reconnaissance
1543,Fuzzers
1544,Backdoor
1545,Fuzzers
1546,Normal
1547,Normal
1548,Normal
1549,Generic
1550,Normal
1551,Normal
1552,Exploits
1553,Normal
1554,Generic
1555,Worms
1556,Exploits
1557,Generic
1558,Generic
1559,Normal
1560,DoS
1561,Normal
1562,Analysis
1563,Normal
1564,Normal
1565,DoS
1566,Normal
1567,Reconnaissance
1568,DoS
1569,Fuzzers
1570,Normal
1571,Backdoor
1572,Exploits
1573,Backdoor
1574,Fuzzers
1575,Generic
1576,Generic
1577,Generic
1578,Analysis
1579,Exploits
1580,Normal
1581,Backdoor
1582,Worms
1583,DoS
1584,Shellcode
1585,Normal
1586,Normal
1587,Reconnaissance
1588,Normal
1589,Fuzzers
1590,Generic
1591,Worms
1592,Fuzzers
1593,Generic
1594,Worms
1595,Generic
1596,DoS
1597,Generic
1598,Shellcode
1599,Normal
1600,Normal
1601,Worms
1602,Backdoor
1603,Normal
1604,Normal
1605,Shellcode
1606,Normal
1607,Normal
1608,Backdoor
1609,Normal
1610,Backdoor
1611,Fuzzers
1612,Generic
1613,Reconnaissance
1614,Exploits
1615,Generic
1616,Normal
1617,Normal
1618,Normal
1619,Normal
1620,Shellcode
1621,Generic
1622,Normal
1623,Normal
1624,Normal
1625,Backdoor
1626,Reconnaissance
1627,Fuzzers
1628,Shellcode
1629,Analysis
1630,Fuzzers
1631,Generic
1632,Analysis
1633,Normal
1634,Generic
1635,Generic
1636,Analysis
1637,Exploits
1638,Generic
1639,Fuzzers
1640,Backdoor
1641,Generic
1642,Worms
1643,Fuzzers
1644,Normal
1645,Generic
1646,Fuzzers
1647,Analysis
1648,DoS
1649,Analysis
1650,Exploits
1651,Fuzzers
1652,Worms
1653,Normal
1654,Normal
1655,Exploits
1656,Reconnaissance
1657,Exploits
1658,DoS
1659,Normal
1660,Reconnaissance
1661,Generic
1662,Reconnaissance
1663,Exploits
1664,Normal
1665,Reconnaissance
1666,Analysis
1667,Generic
1668,Fuzzers
1669,Generic
1670,Fuzzers
1671,Generic
1672,Reconnaissance
1673,Normal
1674,Normal
1675,Reconnaissance
1676,Generic
1677,DoS
1678,Generic
1679,Fuzzers
1680,Generic
1681,Generic
1682,Normal
1683,Generic
1684,Normal
1685,Normal
1686,Normal
1687,Exploits
1688,Fuzzers
1689,Normal
1690,Normal
1691,Fuzzers
1692,Reconnaissance
1693,Reconnaissance
1694,Reconnaissance
1695,Generic
1696,Worms
1697,Normal
1698,Normal
1699,Fuzzers
1700,Reconnaissance
1701,Generic
1702,Normal
1703,Shellcode
1704,Normal
1705,Normal
1706,Shellcode
1707,Generic
1708,Normal
1709,Reconnaissance
1710,Normal
1711,Generic
1712,Generic
1713,Backdoor
1714,Normal
1715,Fuzzers
1716,Exploits
1717,Generic
1718,Reconnaissance
1719,Worms
1720,Normal
1721,Exploits
1722,Backdoor
1723,Fuzzers
1724,Worms
1725,DoS
1726,Exploits
1727,Analysis
1728,Normal
1729,Worms
1730,Normal
1731,Backdoor
1732,Backdoor
1733,Shellcode
1734,Normal
1735,Generic
1736,Exploits
1737,Generic
1738,Exploits
1739,Generic
1740,Generic
1741,Generic
1742,Generic
1743,Generic
1744,Generic
1745,Reconnaissance
1746,Shellcode
1747,Generic
1748,Worms
1749,Fuzzers
1750,Fuzzers
1751,Backdoor
1752,Reconnaissance
1753,Analysis
1754,Analysis
1755,Normal
1756,Fuzzers
1757,Normal
1758,Shellcode
1759,Exploits
1760,Normal
1761,Normal
1762,DoS
1763,Normal
1764,Normal
1765,Generic
1766,Reconnaissance
1767,Normal
1768,DoS
1769,Normal
1770,DoS
1771,Generic
1772,Normal
1773,Normal
1774,DoS
1775,Reconnaissance
1776,Generic
1777,Generic
1778,Exploits
1779,Generic
1780,Normal
1781,Shellcode
1782,Generic
1783,Fuzzers
1784,Reconnaissance
1785,Generic
1786,Generic
1787,Exploits
1788,Normal
1789,Fuzzers
1790,Reconnaissance
1791,Generic
1792,Normal
1793,Analysis
1794,Normal
1795,Normal
1796,Normal
1797,Generic
1798,Generic
1799,Fuzzers
1800,Normal
1801,Normal
1802,DoS
1803,Shellcode
1804,Normal
1805,Normal
1806,Worms
1807,Backdoor
1808,Normal
1809,Normal
1810,Normal
1811,Reconnaissance
1812,Backdoor
1813,Fuzzers
1814,Fuzzers
1815,Worms
1816,Shellcode
1817,Reconnaissance
1818,Generic
1819,Exploits
1820,Backdoor
1821,Shellcode
1822,Worms
1823,Analysis
1824,Reconnaissance
1825,Analysis
1826,Fuzzers
1827,Analysis
1828,Generic
1829,Fuzzers
1830,Analysis
1831,Fuzzers
1832,Backdoor
1833,Shellcode
1834,Normal
1835,Fuzzers
1836,Generic
1837,Generic
1838,Exploits
1839,Reconnaissance
1840,Backdoor
1841,Worms
1842,Worms
1843,DoS
1844,Fuzzers
1845,Fuzzers
1846,Fuzzers
1847,Normal
1848,Generic
1849,Normal
1850,Normal
1851,Fuzzers
1852,Generic
1853,Fuzzers
1854,Fuzzers
1855,DoS
1856,Fuzzers
1857,Generic
1858,Normal
1859,Backdoor
1860,Reconnaissance
1861,Reconnaissance
1862,DoS
1863,Worms
1864,Fuzzers
1865,Normal
1866,DoS
